home_team,away_team,match_period,game_week,match_date,match_time,stadium,score_line,total_goals,away_goals,home_goals,referee,min 1-15 goals,min 16-30 goals,min 31-45+ goals,min 46-60 goals,min 61-75 goals,min 76-90+ goals,45+ goals,90+ goals,1st_half goals,2nd_half goals,stoppage_time goals,normal_time goals,min 1-15 home goals,min 1-15 away goals,min 16-30 home goals,min 16-30 away goals,min 31-45+ home goals,min 31-45+ away goals,min 46-60 home goals,min 46-60 away goals,min 61-75 home goals,min 61-75 away goals,min 76-90+ home goals,min 76-90+ away goals,45+ home goals,45+ away goals,90+ home goals,90+ away goals,1st_half home goals,1st_half away goals,2nd_half home goals,2nd_half away goals,stoppage_time home goals,stoppage_time away goals,normal_time home goals,normal_time away goals
West Ham United,Southampton,early kick-off,27,2 April 2023,14:00 BST,London Stadium,1–0,1,0,1,Paul Tierney,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Bournemouth,West Ham United,early kick-off,31,23 April 2023,14:00 BST,Vitality Stadium,0–4,4,4,0,Anthony Taylor,2,0,1,0,1,0,0,0,3,1,0,4,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,4
West Ham United,Manchester United,late kick-off,35,7 May 2023,19:00 BST,London Stadium,1–0,1,0,1,Peter Bankes,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Brentford,West Ham United,early kick-off,36,13 May 2023,14:00 BST,Gtech Community Stadium,2–0,2,0,2,Michael Oliver,0,1,1,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
West Ham United,Leeds United,early kick-off,37,21 May 2023,13:30 BST,London Stadium,3–1,4,1,3,Peter Bankes,0,1,1,0,1,1,0,1,2,2,1,3,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,2,0,1,0,2,1
Leicester City,West Ham United,standard kick-off,38,28 May 2023,16:30 BST,King Power Stadium,2–1,3,1,2,Simon Hooper,0,0,1,0,1,1,0,0,1,2,0,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,2,1
Nottingham Forest,Bournemouth,standard kick-off,6,3 September 2022,15:00 BST,City Ground,2–3,5,3,2,Michael Oliver,0,0,2,1,1,1,1,0,2,3,1,4,0,0,0,0,2,0,0,1,0,1,0,1,1,0,0,0,2,0,0,3,1,0,1,3
Bournemouth,Brentford,standard kick-off,8,1 October 2022,15:00 BST,Vitality Stadium,0–0,0,0,0,Thomas Bramall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bournemouth,Leicester City,standard kick-off,9,8 October 2022,15:00 BST,Vitality Stadium,2–1,3,1,2,Michael Salisbury,1,0,0,0,2,0,0,0,1,2,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,2,1
Bournemouth,Southampton,late kick-off,11,19 October 2022,19:30 BST,Vitality Stadium,0–1,1,1,0,John Brooks,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Leeds United,Bournemouth,standard kick-off,14,5 November 2022,15:00 GMT,Elland Road,4–3,7,3,4,Tony Harrington,2,1,0,2,1,1,0,0,3,4,0,7,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,2,3,1,0,0,4,3
Bournemouth,Everton,standard kick-off,15,12 November 2022,15:00 GMT,Vitality Stadium,3–0,3,0,3,Craig Pawson,0,2,0,0,1,0,0,0,2,1,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0
Manchester United,Bournemouth,late kick-off,18,3 January 2023,20:00 GMT,Old Trafford,3–0,3,0,3,Michael Salisbury,0,1,0,1,0,1,0,0,1,2,0,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,3,0
Brentford,Bournemouth,standard kick-off,19,14 January 2023,17:30 GMT,Brentford Community Stadium,2–0,2,0,2,Jarred Gillett,0,0,1,0,1,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0
Bournemouth,Nottingham Forest,standard kick-off,20,21 January 2023,15:00 GMT,Vitality Stadium,1–1,2,1,1,Andrew Madley,0,1,0,0,0,1,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
Leicester City,Bournemouth,standard kick-off,30,8 April 2023,15:00 BST,King Power Stadium,0–1,1,1,0,David Coote,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
